English	Japanese	Source	SourceKind	DsdType
Grelka's Strongbox	グレルカの金庫	skyrim_taiyaku_250627	reference	Reference FULL
Grelod the Kind	親切者のグレロッド	skyrim_taiyaku_250627	reference	Reference FULL
Grelod the Kind is dead.	親切者のグレロッドは死んだ	skyrim_taiyaku_250627	reference	Reference FULL
Grelod? As it turns out... I already killed her.	グレロッド？ なんと言うか… もう殺したよ	skyrim_taiyaku_250627	reference	Reference FULL
Greta	グレタ	skyrim_taiyaku_250627	reference	Reference FULL
Grete	グレテ	skyrim_taiyaku_250627	reference	Reference FULL
Grey	グレー	skyrim_taiyaku_250627	reference	Reference FULL
Grey Robes	ローブ	skyrim_taiyaku_250627	reference	Reference FULL
Greybeard's Boots	グレイビアードのブーツ	skyrim_taiyaku_250627	reference	Reference FULL
Greybeard's Hood	グレイビアードのフード	skyrim_taiyaku_250627	reference	Reference FULL
Greybeard's Robes	グレイビアードのローブ	skyrim_taiyaku_250627	reference	Reference FULL
Greybeards	グレイビアード	skyrim_taiyaku_250627	reference	Reference FULL
Greywater Gorge	グレイウォーター渓谷	skyrim_taiyaku_250627	reference	Reference FULL
Greywater Grotto	グレイウォーター洞窟	skyrim_taiyaku_250627	reference	Reference FULL
Griefstricken Chef	悲嘆に暮れる料理人	skyrim_taiyaku_250627	reference	Reference FULL
Grilled Chicken Breast	鶏の胸肉のグリル	skyrim_taiyaku_250627	reference	Reference FULL
Grilled Leeks	リーキのグリル	skyrim_taiyaku_250627	reference	Reference FULL
Grim Shieldmaiden	残忍なシールドメイデン	skyrim_taiyaku_250627	reference	Reference FULL
Grimsever	グリムシーバー	skyrim_taiyaku_250627	reference	Reference FULL
Grimsever's Return	グリムシーバーの帰還	skyrim_taiyaku_250627	reference	Reference FULL
Grimvar	グリムヴァー	skyrim_taiyaku_250627	reference	Reference FULL
Grimvar Cruel–Sea	グリムヴァー・クルーエル・シー	skyrim_taiyaku_250627	reference	Reference FULL
Grin and Bear It	笑って耐えろ	skyrim_taiyaku_250627	reference	Reference FULL
Grindstones	砥石	skyrim_taiyaku_250627	reference	Reference FULL
Grisvar	グリスバー	skyrim_taiyaku_250627	reference	Reference FULL
Grisvar is dead.	グリスバーは死んだ	skyrim_taiyaku_250627	reference	Reference FULL
Grisvar the Unlucky	不運なグリスバー	skyrim_taiyaku_250627	reference	Reference FULL
Grogmar gro–Burzag	グログマー・グロ・バルザグ	skyrim_taiyaku_250627	reference	Reference FULL
Grok	グロク	skyrim_taiyaku_250627	reference	Reference FULL
Gron	Gron	skyrim_taiyaku_250627	reference	Reference FULL
Grosta	グロスタ	skyrim_taiyaku_250627	reference	Reference FULL
Grosta's Necklace	グロスタの首飾り	skyrim_taiyaku_250627	reference	Reference FULL
Grow a backbone, kid.	たくましくなるんだぞ	skyrim_taiyaku_250627	reference	Reference FULL
Grushnag	グルシュナグ	skyrim_taiyaku_250627	reference	Reference FULL
Guard	衛兵	skyrim_taiyaku_250627	reference	Reference FULL
Guard Barracks	衛兵の兵舎	skyrim_taiyaku_250627	reference	Reference FULL
Guard Faction (for dialogue)	衛兵一派(会話)	skyrim_taiyaku_250627	reference	Reference FULL
Guard House	衛兵詰所	skyrim_taiyaku_250627	reference	Reference FULL
Guard Tower	監視塔	skyrim_taiyaku_250627	reference	Reference FULL
Guard's Orders	衛兵の命令	skyrim_taiyaku_250627	reference	Reference FULL
GuardFaction (makes an actor a guard)	衛兵一派 (俳優を衛兵にします)	skyrim_taiyaku_250627	reference	Reference FULL
Guardhouse	衛兵詰所	skyrim_taiyaku_250627	reference	Reference FULL
Guardian Circle	守護のサークル	skyrim_taiyaku_250627	reference	Reference FULL
Guardian Circle Hazard	ガーディアン・サークル・ハザード	skyrim_taiyaku_250627	reference	Reference FULL
Guardian Circle Restore Health	ガーディアン・サークルの体力治癒	skyrim_taiyaku_250627	reference	Reference FULL
Guardian Saerek	ガーディアン・サエレック	skyrim_taiyaku_250627	reference	Reference FULL
Guardian Torsten	ガーディアン・トルステン	skyrim_taiyaku_250627	reference	Reference FULL
Guardian Troll Spirit	ガーディアン・トロール	skyrim_taiyaku_250627	reference	Reference FULL
Guide Meridia's Light through the temple	メリディアの光を聖堂に通す	skyrim_taiyaku_250627	reference	Reference FULL
Guide to Better Thieving	より良い泥棒ガイド	skyrim_taiyaku_250627	reference	Reference FULL
Guild Chest	ギルドの宝箱	skyrim_taiyaku_250627	reference	Reference FULL
Guild Master	ギルドマスター	skyrim_taiyaku_250627	reference	Reference FULL
Guild Master's Armor	ギルドマスターの鎧	skyrim_taiyaku_250627	reference	Reference FULL
Guild Master's Boots	ギルドマスターのブーツ	skyrim_taiyaku_250627	reference	Reference FULL
Guild Master's Gloves	ギルドマスターの手袋	skyrim_taiyaku_250627	reference	Reference FULL
Guild Master's Hood	ギルドマスターのフード	skyrim_taiyaku_250627	reference	Reference FULL
Guild Master's Tribute Chest	ギルドマスターの上納品の宝箱	skyrim_taiyaku_250627	reference	Reference FULL
Guilt? What are you talking about?	罪？ 何の話だ？	skyrim_taiyaku_250627	reference	Reference FULL
Gul	ガル	skyrim_taiyaku_250627	reference	Reference FULL
Gularzob	グラーゾブ	skyrim_taiyaku_250627	reference	Reference FULL
Guldun Rock	ゴルドゥン・ロック	skyrim_taiyaku_250627	reference	Reference FULL
Guldun Rock Cave	ゴルドゥン・ロック洞窟	skyrim_taiyaku_250627	reference	Reference FULL
Gulum–Ei	ガラム・エイ	skyrim_taiyaku_250627	reference	Reference FULL
Gulum–Ei Player Friend Faction	ガラム・エイ・プレイヤー友好一派	skyrim_taiyaku_250627	reference	Reference FULL
Gulum–Ei also told me she was a murderer.	ガラム・エイは彼女が人殺しだったと言っていた	skyrim_taiyaku_250627	reference	Reference FULL
Gulum–Ei told me she said,  "Where the end began."	ガラム・エイによれば、“終わりが始まった場所”にいると言っていた	skyrim_taiyaku_250627	reference	Reference FULL
Gulum–Ei's Confession	ガラム・エイの告白	skyrim_taiyaku_250627	reference	Reference FULL
Gunding	ガンディング	skyrim_taiyaku_250627	reference	Reference FULL
Gunjar	ガンジャール	skyrim_taiyaku_250627	reference	Reference FULL
Gunnar	グンナール	skyrim_taiyaku_250627	reference	Reference FULL
Gunnar Stone–Eye	グンナール・ストーン・アイ	skyrim_taiyaku_250627	reference	Reference FULL
Guthrum	グスラム	skyrim_taiyaku_250627	reference	Reference FULL
Gwendolyn	グウェンドリン	skyrim_taiyaku_250627	reference	Reference FULL
Gwilin	グウィリン	skyrim_taiyaku_250627	reference	Reference FULL
HIDE	皮	skyrim_taiyaku_250627	reference	Reference FULL
HUD Color	HUDの色	skyrim_taiyaku_250627	reference	Reference FULL
HUD Opacity	HUD不透明度	skyrim_taiyaku_250627	reference	Reference FULL
Haafingar	ハーフィンガル	skyrim_taiyaku_250627	reference	Reference FULL
Haafingar Guard	ハーフィンガル衛兵	skyrim_taiyaku_250627	reference	Reference FULL
Haafingar Hold Settlement Dialogue	ハーフィンガル要塞集落の会話	skyrim_taiyaku_250627	reference	Reference FULL
Haafingar Stormcloak Camp	ハーフィンガル・ストームクロークの野営地	skyrim_taiyaku_250627	reference	Reference FULL
Habd's Death Letter	ハブドの遺書	skyrim_taiyaku_250627	reference	Reference FULL
Habd's Journal	ハブドの日記	skyrim_taiyaku_250627	reference	Reference FULL
Habd's Lighthouse Key	ハブドの灯台の鍵	skyrim_taiyaku_250627	reference	Reference FULL
Habd's Remains	ハブドの死体	skyrim_taiyaku_250627	reference	Reference FULL
Hack and Slash	ハック＆スラッシュ	skyrim_taiyaku_250627	reference	Reference FULL
Hadring	ハドリング	skyrim_taiyaku_250627	reference	Reference FULL
Hadvar	ハドバル	skyrim_taiyaku_250627	reference	Reference FULL
Hadvar (Imperials)	ハドバル(帝国)	skyrim_taiyaku_250627	reference	Reference FULL
Hadvar said you could help me out.	ハドバルに、お前が助けてくれると聞いた	skyrim_taiyaku_250627	reference	Reference FULL
Haelga	ヘルガ	skyrim_taiyaku_250627	reference	Reference FULL
Haelga gave you a Mark of Dibella. I want it.	ヘルガにディベラの印をもらったはずだ。渡してもらおう	skyrim_taiyaku_250627	reference	Reference FULL
Haelga's Bunkhouse	ヘルガの宿舎	skyrim_taiyaku_250627	reference	Reference FULL
Haelga's Bunkhouse Key	ヘルガの宿舎の鍵	skyrim_taiyaku_250627	reference	Reference FULL
Haelga's Bunkhouse Scene 01	ヘルガの宿舎シーン01	skyrim_taiyaku_250627	reference	Reference FULL
Haelga's Bunkhouse Scene 02	ヘルガの宿舎シーン02	skyrim_taiyaku_250627	reference	Reference FULL
Haelga's Bunkhouse Scene 03	ヘルガの宿舎シーン03	skyrim_taiyaku_250627	reference	Reference FULL
Haelga's Bunkhouse Scene 04	ヘルガの宿舎シーン04	skyrim_taiyaku_250627	reference	Reference FULL
Haelga's Bunkhouse Scene 05	ヘルガの宿舎シーン05	skyrim_taiyaku_250627	reference	Reference FULL
Haelga's Bunkhouse Scene 06	ヘルガの宿舎シーン06	skyrim_taiyaku_250627	reference	Reference FULL
Haelga's Bunkhouse Scene 07	ヘルガの宿舎シーン07	skyrim_taiyaku_250627	reference	Reference FULL
Haelga's Bunkhouse Scene 08	ヘルガの宿舎シーン08	skyrim_taiyaku_250627	reference	Reference FULL
Haelga's Bunkhouse Scene 09	ヘルガの宿舎シーン09	skyrim_taiyaku_250627	reference	Reference FULL
Haelga's Bunkhouse Scene 10	ヘルガの宿舎シーン10	skyrim_taiyaku_250627	reference	Reference FULL
Haelga's Bunkhouse Scene 11	ヘルガの宿舎シーン11	skyrim_taiyaku_250627	reference	Reference FULL
Haelga's Bunkhouse Scene 12	ヘルガの宿舎シーン12	skyrim_taiyaku_250627	reference	Reference FULL
Haemar's Cavern	ハエマールの不名誉	skyrim_taiyaku_250627	reference	Reference FULL
Haemar's Shame	ハエマールの不名誉	skyrim_taiyaku_250627	reference	Reference FULL
Hafjorg	ハフジョルグ	skyrim_taiyaku_250627	reference	Reference FULL
Hafnar	ハフナー	skyrim_taiyaku_250627	reference	Reference FULL
Hafnar Ice–Fist	氷拳のハフナー	skyrim_taiyaku_250627	reference	Reference FULL
Hag	ハグ	skyrim_taiyaku_250627	reference	Reference FULL
Hag Rock Redoubt	ハグロック要塞	skyrim_taiyaku_250627	reference	Reference FULL
Hag Rock Redoubt Ruin	ハグロック要塞の廃墟	skyrim_taiyaku_250627	reference	Reference FULL
Hag Rock Ruin Jail Key	ハグロック廃墟の監獄の鍵	skyrim_taiyaku_250627	reference	Reference FULL
Hag's Cure	ハグズキュア	skyrim_taiyaku_250627	reference	Reference FULL
Hag's End	ハグズエンド	skyrim_taiyaku_250627	reference	Reference FULL
Hag's End Drain Health	ハグズエンドの体力低下	skyrim_taiyaku_250627	reference	Reference FULL
Hag's End Key	ハグズエンドの鍵	skyrim_taiyaku_250627	reference	Reference FULL
Hag's End Soul Trap	ハグズエンドの魂縛	skyrim_taiyaku_250627	reference	Reference FULL
Haggling	交渉上手	skyrim_taiyaku_250627	reference	Reference FULL
Hagraven	ハグレイヴン	skyrim_taiyaku_250627	reference	Reference FULL
Hagraven Claw	ハグレイヴンの爪	skyrim_taiyaku_250627	reference	Reference FULL
Hagraven Faction	ハグレイヴン一派	skyrim_taiyaku_250627	reference	Reference FULL
Hagraven Feathers	ハグレイヴンの羽	skyrim_taiyaku_250627	reference	Reference FULL
Hail Sithis!	シシス万歳！	skyrim_taiyaku_250627	reference	Reference FULL
Hail the Imperial Legion!	帝国軍ばんざい！	skyrim_taiyaku_250627	reference	Reference FULL
Hair	髪	skyrim_taiyaku_250627	reference	Reference FULL
Hair Color	髪の色	skyrim_taiyaku_250627	reference	Reference FULL
Hajvarr Iron–Hand	ハジバール・アイアン・ハンド	skyrim_taiyaku_250627	reference	Reference FULL
Hajvarr's Journal	ハジバールの日記	skyrim_taiyaku_250627	reference	Reference FULL
Hakon	ハコン	skyrim_taiyaku_250627	reference	Reference FULL
Hakon One–Eye	隻眼のハコン	skyrim_taiyaku_250627	reference	Reference FULL
Hakon, Gormlaith, Felldir? Who are they?	ハコン、ゴルムレイス、フェルディル？ 誰なんだ？	skyrim_taiyaku_250627	reference	Reference FULL
Haldyn	ハルディン	skyrim_taiyaku_250627	reference	Reference FULL
Half damage	ハーフダメージ	skyrim_taiyaku_250627	reference	Reference FULL
Half–Moon Mill	ハーフムーン工場	skyrim_taiyaku_250627	reference	Reference FULL
Hall of Attainment	達成の間	skyrim_taiyaku_250627	reference	Reference FULL
Hall of Countenance	平静の間	skyrim_taiyaku_250627	reference	Reference FULL
Hall of Heroes	勇気の間	skyrim_taiyaku_250627	reference	Reference FULL
Hall of Rumination	熟考の間	skyrim_taiyaku_250627	reference	Reference FULL
Hall of Valor	勇気の間	skyrim_taiyaku_250627	reference	Reference FULL
Hall of the Dead	死者の間	skyrim_taiyaku_250627	reference	Reference FULL
Hall of the Elements	元素の間	skyrim_taiyaku_250627	reference	Reference FULL
Halldir	ハルディール	skyrim_taiyaku_250627	reference	Reference FULL
Halldir's Cairn	ハルディールの石塚	skyrim_taiyaku_250627	reference	Reference FULL
Halldir's Pacify	ハルディールの沈静	skyrim_taiyaku_250627	reference	Reference FULL
Halldir's Soul Trap	ハルディールの魂縛	skyrim_taiyaku_250627	reference	Reference FULL
Halldir's Staff	ハルディールの杖	skyrim_taiyaku_250627	reference	Reference FULL
Hallgerd's Tale	ハルガードの物語	skyrim_taiyaku_250627	reference	Reference FULL
Hallowed Daedric Battleaxe	神聖なるデイドラの両手斧	skyrim_taiyaku_250627	reference	Reference FULL
Hallowed Daedric Bow	神聖なるデイドラの弓	skyrim_taiyaku_250627	reference	Reference FULL
Hallowed Daedric Dagger	神聖なるデイドラのダガー	skyrim_taiyaku_250627	reference	Reference FULL
Hallowed Daedric Greatsword	神聖なるデイドラのグレートソード	skyrim_taiyaku_250627	reference	Reference FULL
Hallowed Daedric Mace	神聖なるデイドラのメイス	skyrim_taiyaku_250627	reference	Reference FULL
Hallowed Daedric Sword	神聖なるデイドラの剣	skyrim_taiyaku_250627	reference	Reference FULL
Hallowed Daedric War Axe	神聖なるデイドラの片手斧	skyrim_taiyaku_250627	reference	Reference FULL
Hallowed Daedric Warhammer	神聖なるデイドラの戦鎚	skyrim_taiyaku_250627	reference	Reference FULL
Hallowed Dead	神聖なる死者	skyrim_taiyaku_250627	reference	Reference FULL
Hallowed Dwarven Battleaxe	神聖なるドワーフの両手斧	skyrim_taiyaku_250627	reference	Reference FULL
Hallowed Dwarven Bow	神聖なるドワーフの弓	skyrim_taiyaku_250627	reference	Reference FULL
Hallowed Dwarven Dagger	神聖なるドワーフのダガー	skyrim_taiyaku_250627	reference	Reference FULL
Hallowed Dwarven Greatsword	神聖なるドワーフのグレートソード	skyrim_taiyaku_250627	reference	Reference FULL
Hallowed Dwarven Mace	神聖なるドワーフのメイス	skyrim_taiyaku_250627	reference	Reference FULL
Hallowed Dwarven Sword	神聖なるドワーフの剣	skyrim_taiyaku_250627	reference	Reference FULL
Hallowed Dwarven War Axe	神聖なるドワーフの片手斧	skyrim_taiyaku_250627	reference	Reference FULL
Hallowed Dwarven Warhammer	神聖なるドワーフの戦鎚	skyrim_taiyaku_250627	reference	Reference FULL
Hallowed Ebony Battleaxe	神聖なる黒檀の両手斧	skyrim_taiyaku_250627	reference	Reference FULL
Hallowed Ebony Bow	神聖なる黒檀の弓	skyrim_taiyaku_250627	reference	Reference FULL
Hallowed Ebony Dagger	神聖なる黒檀のダガー	skyrim_taiyaku_250627	reference	Reference FULL
Hallowed Ebony Greatsword	神聖なる黒檀のグレートソード	skyrim_taiyaku_250627	reference	Reference FULL
Hallowed Ebony Mace	神聖なる黒檀のメイス	skyrim_taiyaku_250627	reference	Reference FULL
Hallowed Ebony Sword	神聖なる黒檀の剣	skyrim_taiyaku_250627	reference	Reference FULL
Hallowed Ebony War Axe	神聖なる黒檀の片手斧	skyrim_taiyaku_250627	reference	Reference FULL
Hallowed Ebony Warhammer	神聖なる黒檀の戦鎚	skyrim_taiyaku_250627	reference	Reference FULL
Hallowed Elven Battleaxe	神聖なるエルフの両手斧	skyrim_taiyaku_250627	reference	Reference FULL
Hallowed Elven Bow	神聖なるエルフの弓	skyrim_taiyaku_250627	reference	Reference FULL
Hallowed Elven Dagger	神聖なるエルフのダガー	skyrim_taiyaku_250627	reference	Reference FULL
Hallowed Elven Greatsword	神聖なるエルフのグレートソード	skyrim_taiyaku_250627	reference	Reference FULL
Hallowed Elven Mace	神聖なるエルフのメイス	skyrim_taiyaku_250627	reference	Reference FULL
Hallowed Elven Sword	神聖なるエルフの剣	skyrim_taiyaku_250627	reference	Reference FULL
Hallowed Elven War Axe	神聖なるエルフの片手斧	skyrim_taiyaku_250627	reference	Reference FULL
Hallowed Elven Warhammer	神聖なるエルフの戦鎚	skyrim_taiyaku_250627	reference	Reference FULL
Hallowed Glass Battleaxe	神聖なる碧水晶の両手斧	skyrim_taiyaku_250627	reference	Reference FULL
Hallowed Glass Bow	神聖なる碧水晶の弓	skyrim_taiyaku_250627	reference	Reference FULL
Hallowed Glass Dagger	神聖なる碧水晶のダガー	skyrim_taiyaku_250627	reference	Reference FULL
Hallowed Glass Greatsword	神聖なる碧水晶のグレートソード	skyrim_taiyaku_250627	reference	Reference FULL
Hallowed Glass Mace	神聖なる碧水晶のメイス	skyrim_taiyaku_250627	reference	Reference FULL
Hallowed Glass Sword	神聖なる碧水晶の剣	skyrim_taiyaku_250627	reference	Reference FULL
Hallowed Glass War Axe	神聖なる碧水晶の片手斧	skyrim_taiyaku_250627	reference	Reference FULL
Hallowed Glass Warhammer	神聖なる碧水晶の戦鎚	skyrim_taiyaku_250627	reference	Reference FULL
Hallowed Orcish Battleaxe	神聖なるオークの両手斧	skyrim_taiyaku_250627	reference	Reference FULL
Hallowed Orcish Bow	神聖なるオークの弓	skyrim_taiyaku_250627	reference	Reference FULL
Hallowed Orcish Dagger	神聖なるオークのダガー	skyrim_taiyaku_250627	reference	Reference FULL
Hallowed Orcish Greatsword	神聖なるオークのグレートソード	skyrim_taiyaku_250627	reference	Reference FULL
Hallowed Orcish Mace	神聖なるオークのメイス	skyrim_taiyaku_250627	reference	Reference FULL
Hallowed Orcish Sword	神聖なるオークの剣	skyrim_taiyaku_250627	reference	Reference FULL
Hallowed Orcish War Axe	神聖なるオークの片手斧	skyrim_taiyaku_250627	reference	Reference FULL
Hallowed Orcish Warhammer	神聖なるオークの戦鎚	skyrim_taiyaku_250627	reference	Reference FULL
Halted Stream Camp	ホルテッド・ストリームの野営地	skyrim_taiyaku_250627	reference	Reference FULL
Hamal	ハマル	skyrim_taiyaku_250627	reference	Reference FULL
Hamelyn	アムリン	skyrim_taiyaku_250627	reference	Reference FULL
Hamelyn's Journal	アムリンの日記	skyrim_taiyaku_250627	reference	Reference FULL
Haming	ハミング	skyrim_taiyaku_250627	reference	Reference FULL
Hammer	ハンマー	skyrim_taiyaku_250627	reference	Reference FULL
Hammerfell Garb	ハンマーフェルの服	skyrim_taiyaku_250627	reference	Reference FULL
Hamvir's Rest	ハンヴィルズ・レスト	skyrim_taiyaku_250627	reference	Reference FULL
Hand	手	skyrim_taiyaku_250627	reference	Reference FULL
Hand it over and no one has to know. (Persuade)	渡せば誰にも秘密は漏らさない(説得)	skyrim_taiyaku_250627	reference	Reference FULL
Hand me the letter. I'll take it to him.	手紙を渡してくれ。彼に届けよう	skyrim_taiyaku_250627	reference	Reference FULL
Hand over the claw first!	まずは金の爪を渡せ！	skyrim_taiyaku_250627	reference	Reference FULL
Hand over the skooma. (Brawl)	スクゥーマを渡せ(殴り合い)	skyrim_taiyaku_250627	reference	Reference FULL
Hand over the skooma. (Intimidate)	スクゥーマを渡せ(威圧)	skyrim_taiyaku_250627	reference	Reference FULL
Hand over the staff, or else. (Intimidate)	杖を渡せ、さもないと…(威圧)	skyrim_taiyaku_250627	reference	Reference FULL
Hand the key over. Now. (Intimidate)	さっさと鍵を渡せ。早くしろ(威圧)	skyrim_taiyaku_250627	reference	Reference FULL
Handle	ハンドル	skyrim_taiyaku_250627	reference	Reference FULL
Hanging Gardens	空中庭園	skyrim_taiyaku_250627	reference	Reference FULL
Hanging Moss	垂れ苔	skyrim_taiyaku_250627	reference	Reference FULL
Haran	ハラン	skyrim_taiyaku_250627	reference	Reference FULL
Harbinger	導き手	skyrim_taiyaku_250627	reference	Reference FULL
Hard Answers	厳しい答え	skyrim_taiyaku_250627	reference	Reference FULL
Hargar's Chest Key	ハーガーの宝箱の鍵	skyrim_taiyaku_250627	reference	Reference FULL
Hargar's Journal	ハーガーの日記	skyrim_taiyaku_250627	reference	Reference FULL
Harmony	調和	skyrim_taiyaku_250627	reference	Reference FULL
Harmugstahl	ハームグシュタール	skyrim_taiyaku_250627	reference	Reference FULL
Harrald	ハラルド	skyrim_taiyaku_250627	reference	Reference FULL
Harsh Master	厳しい主人	skyrim_taiyaku_250627	reference	Reference FULL
Harvest	取る	skyrim_taiyaku_250627	reference	Reference FULL
Harvest Blood	血を採る	skyrim_taiyaku_250627	reference	Reference FULL
Harvest Dark Elf blood	ダークエルフの血を採取する	skyrim_taiyaku_250627	reference	Reference FULL
Harvest Falmer blood	ファルメルの血を採取する	skyrim_taiyaku_250627	reference	Reference FULL
Harvest High Elf blood	ハイエルフの血を採取する	skyrim_taiyaku_250627	reference	Reference FULL
Harvest Nirnroot	ニルンルートを収穫する	skyrim_taiyaku_250627	reference	Reference FULL
Harvest Orc blood	オークの血を採取する	skyrim_taiyaku_250627	reference	Reference FULL
Harvest Wood Elf blood	ウッドエルフの血を採取する	skyrim_taiyaku_250627	reference	Reference FULL
Harvest's End	収穫感謝祭	skyrim_taiyaku_250627	reference	Reference FULL
Harvesting Frostbite Spider Venom	フロストバイト・スパイダーの毒採取	skyrim_taiyaku_250627	reference	Reference FULL
Has anyone ever explored the barrow?	誰か墓を探索したのか？	skyrim_taiyaku_250627	reference	Reference FULL
Has the Stormcloak uprising affected your duties?	ストームクロークの蜂起で、仕事に影響は出ているのか？	skyrim_taiyaku_250627	reference	Reference FULL
Has the change to Imperial rule disrupted business?	インペリアルの統治になって、仕事に支障は出てないのか？	skyrim_taiyaku_250627	reference	Reference FULL
Has the store made any money?	店は儲かっているか？	skyrim_taiyaku_250627	reference	Reference FULL
Has the time come? Will I now serve the Night Mother?	ついにこの時がきたのか？ 夜母に仕えることになるのか？	skyrim_taiyaku_250627	reference	Reference FULL
Has the war affected you?	戦争でどんな影響を受けた？	skyrim_taiyaku_250627	reference	Reference FULL
Has the war affected your college much?	大学は戦争の影響を受けているか？	skyrim_taiyaku_250627	reference	Reference FULL
Has the war been hard on Markarth?	マルカルスでの戦争は激しかったのか？	skyrim_taiyaku_250627	reference	Reference FULL
Has the war made your travels difficult?	戦争で旅は難しくなったか？	skyrim_taiyaku_250627	reference	Reference FULL
Has the war taken a toll on your settlement and its people?	生活や人々は戦争によって大きな被害を受けているか？	skyrim_taiyaku_250627	reference	Reference FULL
Hasn't Skyrim always been part of the Empire?	スカイリムは常に帝国の一部ではなかったか？	skyrim_taiyaku_250627	reference	Reference FULL
Hastily Scribbled Note	走り書きされたメモ	skyrim_taiyaku_250627	reference	Reference FULL
Hat	帽子	skyrim_taiyaku_250627	reference	Reference FULL
Hatch	ハッチ	skyrim_taiyaku_250627	reference	Reference FULL
Hathrasil	ハスラシル	skyrim_taiyaku_250627	reference	Reference FULL
Have I done something wrong?	何か悪いことをしたか？	skyrim_taiyaku_250627	reference	Reference FULL
Have Need of Cynric	譲渡提案の手紙	skyrim_taiyaku_250627	reference	Reference FULL
Have anything to trade?	取引できる物はあるか？	skyrim_taiyaku_250627	reference	Reference FULL
Have something special for me, Delvin?	何かあるか、デルビン？	skyrim_taiyaku_250627	reference	Reference FULL
Have the Stormcloaks caused you any trouble?	ストームクロークから何か被害を受けていないか？	skyrim_taiyaku_250627	reference	Reference FULL
Have the Stormcloaks treated you roughly?	ストームクロークには酷い扱いをされているんじゃないか？	skyrim_taiyaku_250627	reference	Reference FULL
Have things changed much with the Empire in charge?	帝国が権力の座についてから、状況はずいぶん変わったか？	skyrim_taiyaku_250627	reference	Reference FULL
Have things changed much with the Stormcloaks in charge?	ストームクロークの台頭で、何か変化はあったか？	skyrim_taiyaku_250627	reference	Reference FULL
Have we reached Japhet's Folly?	ジャフェット・フォリーに着いたのか？	skyrim_taiyaku_250627	reference	Reference FULL
Have you always lived in Skyrim?	いつもスカイリムに住んでいるのか？	skyrim_taiyaku_250627	reference	Reference FULL
Have you been in Dawnstar long?	ドーンスターに来て長いのか？	skyrim_taiyaku_250627	reference	Reference FULL
Have you been working in the mines long?	鉱山で働き始めて長いのか？	skyrim_taiyaku_250627	reference	Reference FULL
Have you considered getting out there and fighting?	ここを出て戦おうとは思わなかったのか？	skyrim_taiyaku_250627	reference	Reference FULL
Have you encountered any dragons?	ドラゴンをその目で見たことは？	skyrim_taiyaku_250627	reference	Reference FULL
Have you ever heard of the Augur of Dunlain?	ダンレインの予言者について何か知らないか	skyrim_taiyaku_250627	reference	Reference FULL
Have you ever met with the Psijic Order?	サイジック会に会ったことは？	skyrim_taiyaku_250627	reference	Reference FULL
Have you had trouble with the locals?	今までに地元とトラブルは？	skyrim_taiyaku_250627	reference	Reference FULL
Have you heard any rumors lately?	最近、何か噂を聞いていないか？	skyrim_taiyaku_250627	reference	Reference FULL
Have you heard any rumors?	何か噂を聞いていないか？	skyrim_taiyaku_250627	reference	Reference FULL
Have you heard from Thorald?	ソラルドから連絡はあったか？	skyrim_taiyaku_250627	reference	Reference FULL
Have you heard from your sons?	息子さんから連絡はあったか？	skyrim_taiyaku_250627	reference	Reference FULL
Have you heard of Avanchnzel?	アバンチンゼルについて聞いたことはあるか？	skyrim_taiyaku_250627	reference	Reference FULL
Have you heard of a pirate crew called the Blood Horkers?	ブラッド・ホーカーという海賊を聞いたことはないか？	skyrim_taiyaku_250627	reference	Reference FULL
Have you known Elenwen long?	エレンウェンのことは昔から知っているのか？	skyrim_taiyaku_250627	reference	Reference FULL
Have you lived here all your life?	ずっとここに住んでいるのか？	skyrim_taiyaku_250627	reference	Reference FULL
Have you lived here long?	ここには長く住んでいるのか？	skyrim_taiyaku_250627	reference	Reference FULL
Have you located any Words of Power?	力の言葉を見つけたのか？	skyrim_taiyaku_250627	reference	Reference FULL
Have you made any progress translating Shalidor's work?	シャリドールの翻訳は進んだか？	skyrim_taiyaku_250627	reference	Reference FULL
Have you noticed anything strange about the body?	遺体に不審な点はあったか？	skyrim_taiyaku_250627	reference	Reference FULL
Have you unraveled the mystery of the dwarves yet?	ドワーフの秘密はまだ解けないのか？	skyrim_taiyaku_250627	reference	Reference FULL
Haven't they been gone a long time?	長い間、姿を消していたのか？	skyrim_taiyaku_250627	reference	Reference FULL
Haven't they seen dead bodies before?	彼らは死体を見たことがないのか？	skyrim_taiyaku_250627	reference	Reference FULL
Having a good time?	楽しんでるか？	skyrim_taiyaku_250627	reference	Reference FULL
Having an outsider do your bidding might seem powerful...	よそ者に仕事をやらせれば、強力な存在と思われるだろう	skyrim_taiyaku_250627	reference	Reference FULL
Having trouble?	何か困った事でも？	skyrim_taiyaku_250627	reference	Reference FULL
Hawk	鷹	skyrim_taiyaku_250627	reference	Reference FULL
Hawk Beak	鷹のくちばし	skyrim_taiyaku_250627	reference	Reference FULL
Hawk Feathers	鷹の羽	skyrim_taiyaku_250627	reference	Reference FULL
Hay Pile	干し草の山	skyrim_taiyaku_250627	reference	Reference FULL
He asked me to kill the giant, then attacked me.	彼は巨人を殺すように言ってから、こちらに襲いかかってきた	skyrim_taiyaku_250627	reference	Reference FULL
He came in with me, but I'm not sure what happened to him.	彼とは一緒に来たが、どうなったか分からない	skyrim_taiyaku_250627	reference	Reference FULL
